20	16
6	116
8	0
3	6
3	0
28	58
18	55
3	0
46	50
492	1142
11	118
14	0
4	5
3	13
10	10
74	897
280	921
13	0
7	0
16	29
3	0
23	126
4	154
131	444
65	406
6	97
12	83
224	1064
6	0
32	0
18	0
4	0
5	0
97	189
31	69
6	4
3	0
71	183
325	928
50	320
98	230
194	467
4	0
75	277
10	19
8	21
87	0
57	60
58	22
23	22
6	0
4	0
5	0
4	37
7	55
3	0
5	0
138	311
4	0
22	82
120	520
315	838
27	51
84	382
20	27
175	694
56	97
138	541
11	19
6	25
8	0
7	29
7	0
6	10
6	9
11	43
7	6
3	0
137	615
29	29
24	104
9	57
90	1523
14	40
3	0
6	41
4	0
5	11
5	6
60	219
77	135
4	0
3	28
47	617
55	62
62	143
12	37
250	594
3	0
185	241
452	1427
3	0
35	149
183	3783
32	87
8	48
117	466
28	37
26	220
18	66
7	120
65	390
8	9
75	183
267	1259
3	0
10	0
5	16
8	5
7	13
5	25
65	557
3	0
3	5
254	485
35	210
3	0
3	0
32	3
4	9
36	135
4	0
3	0
83	6
21	11
3	18
9	12
156	346
5	5
98	166
3	10
7	10
5	3
5	0
16	32
22	128
6	3
563	1666
17	116
24	75
3	0
7	0
18	31
4	0
159	498
10	0
29	21
9	0
6	4
94	120
38	128
3	0
3	0
82	168
21	12
4	0
9	0
90	196
96	139
6	0
9	14
62	119
13	140
5	6
174	269
3	0
15	133
4	0
263	543
23	68
242	462
6	0
3	0
9	32
3	22
13	43
5	0
6	12
4	0
6	58
5	0
33	85
52	88
323	1104
10	8
3	5
4	5
4	9
5	0
598	2227
15	5
5	12
5	0
3	12
7	3
9	48
81	258
19	0
69	104
3	19
5	26
38	26
27	130
14	54
5	18
5	0
6	21
22	74
6	6
4	6
5	4
210	381
4	20
7	8
10	43
5	0
9	293
28	53
55	122
156	457
5	32
114	536
12	271
6	3
6	3
78	24
7	13
21	43
12	10
8	65
186	510
3	0
5	0
386	2215
4	0
4	5
55	324
25	103
27	214
7	12
11	0
8	218
5	0
14	23
6	10
7	67
6	0
4	0
42	64
38	30
5	61
11	11
17	34
22	4
33	184
3	0
8	7
31	128
47	389
9	9
5	0
48	43
6	4
5	12
10	125
12	94
22	38
5	15
25	62
7	18
3	0
59	133
16	4
222	903
4	3
5	0
3	0
3	0
13	0
88	2620
17	21
46	184
3	0
46	175
15	46
14	24
93	393
16	152
5	3
3	0
6	3
188	536
9	12
32	9
77	202
6	13
29	33
112	1329
74	176
7	3
8	9
27	95
459	1080
15	28
25	113
3	0
347	1581
3	0
34	114
6	0
58	83
12	7
6	0
32	8
4	68
69	349
18	35
83	100
10	10
73	226
11	29
4	11
12	0
40	336
3	7
3	0
4	115
